R_Type,#,Barcodes,Location,Row,Column,Original Name,compound_name,core_common_name,substituents,conjugation,side_chain_group,salt,SMILES_unsalted,core_alkene,mw_g_mol,formula,state,concentration_mM
Amine,896,B02806279,GSFB5,3,6,[2-(1H-imidazol-4-yl)ethyl](methyl)amine Dihydrochloride,,NA,,NA,,NA,,,,,,
Amine,897,B02806416,GSFB5,4,1,"4-[2-(methylamino)ethyl]benzene-1,2-diol hydrochloride",,NA,,NA,,NA,,,,,,
Amine,898,B02806415,GSFB5,4,2,2-(methylamino)ethane-1-thiol hydrochloride,,NA,,NA,,NA,,,,,,
Amine,908,B02806264,LDFB1,3,1,N^omega-Methyl-L-Arginine hydrochloride,,NA,,NA,,NA,,,,,,
Amine,909,B02806272,LDFB1,3,2,3-methyl-2-(methylamino)pentanoic acid hydrochloride,,NA,,NA,,NA,,,,,,
Amine,910,B02806273,LDFB1,3,3,2-(methylamino)3-phenylpropanoic acid ,,NA,,NA,,NA,,,,,,
Amine,911,B02806423,LDFB1,3,4,2-(methylamino)pentanedioic acid,,NA,,NA,,NA,,,,,,
Amine,912,R-ZX9PUH,LDFCB,1,NA,Fluoroscein Cadaverine,,NA,,NA,,NA,,,,,,
Amine,913,R-4YGW8B,LDFCB,1,NA,Lucifer Yellow Cadaverine,,NA,,NA,,NA,,,,,,
Polyamine,842,R-22WMBP,GSFB1,1,1,dXX,,NA,NA,NA,,,,,,,,
Polyamine,843,R-58BP6T,GSFB1,1,2,eXX,,NA,NA,NA,,,,,,,,
Polyamine,844,R-AM9FA9,GSFB1,1,3,hXX,,NA,NA,NA,,,,,,,,
Polyamine,845,R-BZQNKU,GSFB2,1,1,XX,,NA,NA,NA,,,,,,,,
Polyamine,846,R-DN6UDK,GSFB2,1,2,KXX,,NA,NA,NA,,,,,,,,
Polyamine,847,R-G5SDT3,GSFB2,1,3,LXX,,NA,NA,NA,,,,,,,,
Polyamine,848,R-JNV9VA,GSFB2,1,4,MXX,,NA,NA,NA,,,,,,,,
Polyamine,849,R-MSV786,GSFB2,1,5,NXX,,NA,NA,NA,,,,,,,,
Polyamine,850,R-P2N8V5,GSFB2,2,1,PXX,,NA,NA,NA,,,,,,,,
Polyamine,851,R-PJEQ4U,GSFB2,2,2,QXX,,NA,NA,NA,,,,,,,,
Polyamine,852,R-Q6SPR4,GSFB2,2,3,SXX,,NA,NA,NA,,,,,,,,
Polyamine,853,R-RVDWHC,GSFB3,1,1,aXX,,NA,NA,NA,,,,,,,,
Polyamine,854,R-SMWNF6,GSFB3,1,2,cXX,,NA,NA,NA,,,,,,,,
Polyamine,855,R-SZUFAU,GSFB3,1,3,RXX,,NA,NA,NA,,,,,,,,
Polyamine,856,R-UDEXDH,GSFB3,1,4,TXX,,NA,NA,NA,,,,,,,,
Polyamine,857,R-WQXC2G,GSFB3,1,5,VXX,,NA,NA,NA,,,,,,,,
Polyamine,858,R-XBWE3Q,GSFB3,2,1,WXX,,NA,NA,NA,,,,,,,,
Polyamine,859,R-XRDJJ9,GSFB3,2,2,YXX,,NA,NA,NA,,,,,,,,
,860,B02806455,GSFB4,1,1,,,,,,,,,,,,,
,861,B02768407,GSFB4,1,2,,,,,,,,,,,,,
,862,B02768408,GSFB4,1,3,,,,,,,,,,,,,
,863,B02768409,GSFB4,1,4,,,,,,,,,,,,,
,864,B02768410,GSFB4,1,5, ,,,,,,,,,,,,
,865,B02768411,GSFB4,1,6,,,,,,,,,,,,,
,866,B02768412,GSFB4,2,2,,,,,,,,,,,,,
,867,B02768413,GSFB4,2,3,,,,,,,,,,,,,
,868,B02768414,GSFB4,2,4,,,,,,,,,,,,,
,869,B02768415,GSFB4,2,5,,,,,,,,,,,,,
,870,B02768416,GSFB4,2,6,,,,,,,,,,,,,
,871,B02768417,GSFB4,3,2,,,,,,,,,,,,,
,872,B02768418,GSFB4,3,3,,,,,,,,,,,,,
,873,B02768421,GSFB4,3,4,,,,,,,,,,,,,
,874,B02768422,GSFB4,3,5,,,,,,,,,,,,,
,875,B02768423,GSFB4,3,6,,,,,,,,,,,,,
,876,B02768424,GSFB4,4,2,,,,,,,,,,,,,
,877,B02768425,GSFB4,4,3,,,,,,,,,,,,,
,878,B02768428,GSFB4,4,4,,,,,,,,,,,,,
,879,B02768429,GSFB4,4,5,,,,,,,,,,,,,
,880,B02806399,GSFB4,4,6,,,,,,,,,,,,,
,881,B02813668,GSFB5,2,1,,,,,,,,,,,,,
,882,B02813669,GSFB5,2,2,,,,,,,,,,,,,
,883,B02813670,GSFB5,2,3,,,,,,,,,,,,,
,884,B02813673,GSFB5,2,4,,,,,,,,,,,,,
,885,B02813674,GSFB5,2,5,,,,,,,,,,,,,
,886,B02813675,GSFB5,2,6,,,,,,,,,,,,,
,887,B02806280,GSFB5,2,7,,,,,,,,,,,,,
,888,B02800291,GSFB5,2,8,,,,,,,,,,,,,
,889,B02800292,GSFB5,2,9,,,,,,,,,,,,,
,890,B02768435,GSFB5,2,10,,,,,,,,,,,,,
,899,B02813665,LDFB1,1,1,,,,,,,,,,,,,
,900,B02813666,LDFB1,1,2,,,,,,,,,,,,,
,901,B02813667,LDFB1,1,3,,,,,,,,,,,,,
,902,B02768419,LDFB1,1,4,,,,,,,,,,,,,
,903,B02768420,LDFB1,1,5,,,,,,,,,,,,,
,904,B02800288,LDFB1,2,1,,,,,,,,,,,,,
,905,B02800289,LDFB1,2,2,,,,,,,,,,,,,
,906,B02768430,LDFB1,2,4,,,,,,,,,,,,,
,907,B02806418,LDFB1,2,5,,,,,,,,,,,,,
